lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year
36.778261,-119.4179324,Volksfront,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2011
36.778261,-119.4179324,American Nazi Party,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2012
36.778261,-119.4179324,Aryan Terror Brigade,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2012
36.778261,-119.4179324,Crescenta Valley European American Society and PLE,"",CALIFORNIA,"",White Nationalist,"",Yes,2012
36.778261,-119.4179324,Golden State Skinheads,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2012
36.778261,-119.4179324,National Socialist Freedom Movement,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2012
36.778261,-119.4179324,Orange County Skins,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2012
36.778261,-119.4179324,Aryan Strikeforce,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2013
36.778261,-119.4179324,Aryan Terror Brigade,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2013
36.778261,-119.4179324,Crescenta Valley European American Society and PLE,"",CALIFORNIA,"",White Nationalist,"",Yes,2013
36.778261,-119.4179324,Die Auserwahlten,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2013
36.778261,-119.4179324,Free America Rally,"",CALIFORNIA,"",White Nationalist,"",Yes,2013
36.778261,-119.4179324,Loyal White Knights of the KKK,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2013
36.778261,-119.4179324,National Socialist Freedom Movement,"",CALIFORNIA,"",Neo-Nazi,"",Yes,2013
36.778261,-119.4179324,National Socialist Movement,"",CALIFORNIA,National Socialist Movement,Neo-Nazi,"",Yes,2013
36.778261,-119.4179324,National Socialist Movement,"",CALIFORNIA,National Socialist Movement,Neo-Nazi,"",Yes,2013
36.778261,-119.4179324,Orange County Skins,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2013
36.778261,-119.4179324,Order Of The Confederate Brotherhood Knights Of The Ku Klux Klan,"",CALIFORNIA,"",Ku Klux Klan,"",Yes,2013
36.778261,-119.4179324,Red October,"",CALIFORNIA,"",White Nationalist,"",Yes,2013
36.778261,-119.4179324,Orange County Skins,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2014
36.778261,-119.4179324,Aryan Strikeforce,"",CALIFORNIA,"",Racist Skinhead,"",Yes,2014
